"","Source","Target","Type","Kind","Id","Label","timeset","Weight","MMNT.EdgeType","Academic.Year"
"115","Vincent Sagaert","Alain Laurent Verbeke","Undirected","co-promotion",120,"del Corral",NA,1,NA,"2012-2013"
"116","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",121,"De Man",NA,1,NA,"2012-2013"
"117","Sophie Styns","Ilse Samoy","Undirected","co-promotion",122,"Lenaerts",NA,1,NA,"2012-2013"
"118","Jan Wouters","Rene Foque","Undirected","co-promotion",123,"Verhoeven",NA,1,NA,"2011-2012"
"119","Evelyne Terryn","Ilse Samoy","Undirected","co-promotion",124,"Naeyaert (!! Bernard Tilleman third co-promotor)",NA,1,NA,"2011-2012"
"120","Ivo Aertsen","Johan Goethals","Undirected","co-promotion",125,"Bolivar",NA,1,NA,"2011-2012"
"121","Johan Put","Jozef Van Langendonck","Undirected","co-promotion",126,"Flohimont",NA,1,NA,"2011-2012"
"122","Alain Laurent Verbeke","Hugo Vandenberghe","Undirected","co-promotion",127,"Muylle (!!Vincent Sagaert third co-promotor)",NA,1,NA,"2011-2012"
"123","Koen Geens","Eric Dirix","Undirected","co-promotion",128,"Vananroye",NA,1,NA,"2011-2012"
"124","Johan Put","Lieven Pauwels","Undirected","co-promotion",129,"Op de Beeck",NA,1,NA,"2011-2012"
"125","Othmar Vanachter","Frank Hendrickx","Undirected","co-promotion",130,"Vandeputte",NA,1,NA,"2011-2012"
"126","Laurent Waelkens","Emanuele Conte","Undirected","co-promotion",131,"Decock",NA,1,NA,"2011-2012"
"127","Johan Put","Stefaan Pleysier","Undirected","co-promotion",132,"Cops",NA,1,NA,"2011-2012"
"128","Ivo Aertsen","Johan Goethals","Undirected","co-promotion",133,"De Mesmaecker",NA,1,NA,"2011-2012"
"129","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",134,"Heeb",NA,1,NA,"2011-2012"
"130","Peggy Valcke","Jos Dumortier","Undirected","co-promotion",135,"Lefever (!! Frank Hendrickx third co-promotor)",NA,1,NA,"2011-2012"
"131","Kurt Deketelaere","Ronnie Belmans","Undirected","co-promotion",136,"Delvaux",NA,1,NA,"2011-2012"
"132","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",138,"Willems",NA,1,NA,"2010-2011"
"133","Peggy Valcke","Julien Stuyck","Undirected","co-promotion",139,"Hou",NA,1,NA,"2010-2011"
"134","Danny Pieters","Paul Schoukens","Undirected","co-promotion",140,"Kapuy",NA,1,NA,"2010-2011"
"135","Jos Dumortier","Peggy Valcke","Undirected","co-promotion",141,"Kosta",NA,1,NA,"2010-2011"
"136","Stefaan Callens","Wouter Devroe","Undirected","co-promotion",142,"Fornaciari",NA,1,NA,"2010-2011"
"137","Julien Stuyck","Wouter Devroe","Undirected","co-promotion",143,"Peeters",NA,1,NA,"2010-2011"
"138","Alain Laurent Verbeke","Bernard Tilleman","Undirected","co-promotion",144,"Carette",NA,1,NA,"2010-2011"
